Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 64x64 (Rect), Inter 32x32, Inter 32x32 (Rect), Inter 16x16, Inter 16x16 (Rect), Inter 8x8, Inter 8x8 (Rect), Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
10, B-SLICE,   11, 38.00,      10992, 0,4.85,30.969, 37.082, 39.138, 32.754,54, 8 6 2 ,13 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  3.10%,  1.94%, 13.44%, 13.05%,  6.72%,  9.04%,  5.81%,  9.95%,  0.00%,  2.20%,  3.88%,  4.39%,  0.39%,  6.33%,  9.43%, 10.34%, 200758.83, 19836.47, 12967.01, 211517.39 , 16, 235, 98.80, 62, 146, 121.22, 92, 180, 135.26, 0.00%, 7.14%,0.00%, 57.14%, 0.00%, 5.95%, 15.48%, 4.76%, 9.52%, 0.00%, 21.93%,0.00%, 40.20%, 4.32%, 6.48%, 10.13%, 3.32%, 13.62%, 0.00%, 45.78%,0.00%, 20.44%, 2.67%, 4.44%, 9.33%, 3.56%, 13.78%, 0.00%, 48.31%,0.00%, 14.41%, 4.66%, 6.78%, 13.14%, 2.75%, 9.96%,0.00%, 0.0, 50.9, 51.4, 25.3, 124.1, 0.8, 519.0, 3.200, 27
11, b-SLICE,    9, 39.00,       5024, 0,4.78,30.946, 37.050, 39.057, 32.723,57, 8 6 ,11 13 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  9.04%,  6.20%, 16.02%, 15.76%,  4.39%,  4.13%,  1.55%,  2.33%,  0.00%,  5.17%,  1.29%,  1.55%,  4.13%, 11.89%,  8.53%,  8.01%, 201337.41, 20069.50, 13122.33, 204126.58 , 16, 235, 98.41, 62, 146, 121.17, 84, 180, 135.16, 0.00%, 21.33%,0.00%, 46.67%, 0.00%, 3.33%, 8.67%, 8.00%, 12.00%, 0.00%, 30.14%,0.00%, 37.90%, 4.11%, 2.05%, 7.53%, 5.94%, 12.33%, 0.00%, 53.52%,0.00%, 23.94%, 0.00%, 0.70%, 9.15%, 2.82%, 9.86%, 0.00%, 71.15%,0.00%, 5.77%, 5.77%, 4.81%, 8.65%, 0.00%, 3.85%,0.00%, 1.7, 70.5, 31.9, 10.6, 89.3, 0.0, 544.0, 3.141, 31
12, b-SLICE,   10, 39.00,       5048, 0,4.40,30.806, 37.006, 39.028, 32.609,57, 8 6 ,11 13 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 10.26%,  7.98%, 15.10%, 17.38%,  5.41%,  7.12%,  0.85%,  1.42%,  0.00%,  6.55%,  5.41%,  2.28%,  4.27%,  9.97%,  5.98%,  0.00%, 207973.31, 20247.64, 13543.46, 211238.34 , 16, 235, 98.59, 56, 147, 121.10, 78, 179, 135.13, 0.00%, 18.99%,0.00%, 45.57%, 0.00%, 3.80%, 8.86%, 5.70%, 17.09%, 0.00%, 28.71%,0.00%, 39.60%, 1.49%, 5.20%, 9.65%, 4.21%, 11.14%, 0.00%, 47.62%,0.00%, 19.05%, 3.57%, 7.14%, 9.52%, 0.60%, 12.50%, 0.00%, 50.00%,0.00%, 18.75%, 0.00%, 9.38%, 21.88%, 0.00%, 0.00%,0.00%, 0.0, 52.7, 32.0, 10.6, 82.2, 0.0, 543.7, 3.452, 46
13, b-SLICE,   12, 39.00,       4792, 0,4.34,30.787, 37.002, 39.032, 32.594,56, 11 8 6 ,13 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  6.67%,  9.28%, 17.39%, 14.20%,  5.22%,  5.22%,  2.03%,  2.03%,  0.00%,  4.35%,  3.19%,  0.87%,  6.96%, 15.07%,  5.51%,  2.03%, 208604.42, 20249.53, 13292.71, 213889.36 , 16, 235, 98.85, 61, 146, 121.17, 86, 181, 135.22, 0.00%, 30.38%,0.00%, 29.11%, 0.00%, 11.39%, 8.86%, 5.70%, 14.56%, 0.00%, 32.52%,0.00%, 41.75%, 1.94%, 2.67%, 8.98%, 3.16%, 8.98%, 0.00%, 45.45%,0.00%, 24.24%, 3.03%, 6.06%, 9.09%, 3.79%, 8.33%, 0.00%, 41.67%,0.00%, 16.67%, 12.50%, 4.17%, 8.33%, 6.25%, 10.42%,0.00%, 0.0, 51.0, 33.7, 10.6, 83.5, 0.0, 541.4, 3.215, 29
14, P-SLICE,   18, 37.00,      42696, 0,4.40,30.704, 36.928, 38.889, 32.505,51, 13 11 8 6 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.05%, 0.00%,  0.05%,  0.20%, 0.00%,  0.10%,  1.32%, 0.00%,  0.00%,  0.20%,  3.51%,  6.54%, 15.47%, 12.88%, 18.84%, 14.20%,  0.00%,  0.54%,  3.61%,  7.56%,  0.00%,  0.93%,  5.27%,  8.74%, 219154.97, 20778.73, 11529.34, 300461.49 , 16, 235, 99.60, 61, 146, 121.09, 83, 182, 135.20, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 25.00%, 0.00%, 62.50%, 12.50%, 0.37%, 11.24%,0.00%, 28.09%, 10.11%, 16.48%, 10.11%, 11.61%, 11.99%, 0.65%, 23.70%,0.00%, 27.47%, 13.80%, 10.42%, 11.33%, 6.18%, 6.45%, 2.79%, 32.12%,0.00%, 21.35%, 15.77%, 4.09%, 11.01%, 3.27%, 9.62%,0.00%, 0.0, 13.7, 76.5, 10.7, 225.3, 0.0, 564.6, 3.741, 50
15, B-SLICE,   16, 38.00,      12456, 0,4.54,30.718, 37.039, 38.987, 32.542,54, 13 11 6 ,18 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  1.00%,  3.12%, 13.61%, 14.61%,  7.12%,  9.86%,  8.36%,  8.36%,  0.00%,  2.75%,  5.12%,  5.24%,  0.25%,  6.12%,  6.99%,  7.49%, 213293.50, 20226.07, 12852.60, 228777.72 , 16, 235, 99.37, 59, 148, 121.09, 85, 179, 135.19, 0.00%, 5.71%,0.00%, 22.86%, 0.00%, 20.00%, 22.86%, 10.00%, 18.57%, 0.00%, 21.71%,0.00%, 39.45%, 3.06%, 4.13%, 9.94%, 6.42%, 15.29%, 0.00%, 41.63%,0.00%, 19.31%, 5.15%, 6.01%, 11.16%, 4.72%, 12.02%, 0.00%, 43.22%,0.00%, 19.49%, 8.90%, 4.03%, 5.72%, 4.45%, 14.19%,0.00%, 0.0, 36.0, 56.1, 27.7, 122.5, 0.0, 600.5, 2.622, 25
16, b-SLICE,   14, 39.00,       7296, 0,4.31,30.714, 37.039, 39.038, 32.545,57, 13 11 ,16 18 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  5.06%,  5.43%, 14.23%, 12.17%,  6.55%,  8.61%,  7.49%,  6.93%,  0.00%,  5.43%,  3.37%,  7.68%,  2.06%,  5.99%,  4.87%,  4.12%, 212399.03, 20133.48, 13859.85, 217942.52 , 16, 235, 99.17, 62, 146, 121.09, 79, 178, 135.19, 0.00%, 16.42%,0.00%, 40.30%, 0.00%, 10.45%, 14.93%, 5.97%, 11.94%, 0.00%, 26.29%,0.00%, 41.81%, 3.88%, 3.88%, 9.48%, 3.23%, 11.42%, 0.00%, 35.20%,0.00%, 25.60%, 2.40%, 5.60%, 13.60%, 4.00%, 13.60%, 0.00%, 45.00%,0.00%, 20.71%, 7.86%, 5.36%, 11.79%, 2.50%, 6.79%,0.00%, 0.0, 55.4, 41.8, 15.3, 117.2, 0.0, 631.3, 3.407, 20
17, b-SLICE,   15, 39.00,       7352, 0,4.48,30.729, 37.077, 39.032, 32.561,57, 13 11 ,16 18 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  8.65%,  3.80%, 20.04%,  9.49%,  6.12%,  6.96%,  7.38%,  3.59%,  0.00%,  4.85%,  2.95%,  4.43%,  1.48%, 10.76%,  6.33%,  3.16%, 211531.64, 20036.38, 13738.45, 217778.99 , 16, 235, 99.31, 64, 146, 121.14, 82, 180, 135.24, 0.00%, 10.61%,0.00%, 60.61%, 1.52%, 7.58%, 9.09%, 3.03%, 7.58%, 0.00%, 30.33%,0.00%, 49.18%, 2.05%, 1.43%, 5.53%, 4.92%, 6.56%, 0.00%, 41.51%,0.00%, 24.53%, 2.83%, 4.25%, 10.85%, 4.25%, 11.79%, 0.00%, 40.91%,0.00%, 31.82%, 7.95%, 3.98%, 10.80%, 0.57%, 3.98%,0.00%, 0.0, 53.7, 41.9, 15.3, 103.2, 0.0, 630.6, 3.370, 15
18, b-SLICE,   17, 39.00,       4120, 0,4.50,30.649, 37.055, 39.007, 32.495,56, 16 13 11 ,18 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  9.37%,  6.34%, 13.50%,  9.37%,  3.03%,  6.89%,  1.65%,  2.75%,  0.00%,  4.68%,  3.58%,  1.10%,  6.06%, 20.11%,  7.16%,  4.41%, 215264.72, 20144.37, 13466.58, 218493.31 , 16, 235, 99.52, 59, 147, 121.15, 81, 181, 135.25, 0.00%, 27.85%,0.00%, 43.04%, 0.00%, 2.53%, 8.86%, 4.43%, 13.29%, 0.00%, 44.33%,0.00%, 36.45%, 2.46%, 3.20%, 5.17%, 2.46%, 5.91%, 0.00%, 52.00%,0.00%, 12.00%, 2.67%, 5.33%, 16.00%, 3.33%, 8.67%, 0.00%, 55.56%,0.00%, 11.11%, 5.56%, 6.94%, 15.28%, 1.39%, 4.17%,0.00%, 0.0, 52.0, 43.4, 15.3, 97.1, 0.0, 625.5, 3.126, 29
19, P-SLICE,   22, 37.00,      39096, 0,4.33,30.629, 36.919, 38.842, 32.442,52, 18 16 13 11 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.05%, 0.00%,  0.00%,  0.10%, 0.05%,  0.10%,  1.08%, 0.00%,  0.05%,  0.41%,  3.19%,  6.34%, 14.58%, 12.78%, 18.86%, 12.57%,  0.00%,  0.62%,  3.40%,  6.08%,  0.05%,  1.55%,  6.39%, 11.75%, 222337.08, 21206.90, 11456.08, 283622.93 , 16, 235, 100.04, 63, 148, 121.21, 88, 179, 135.20, 0.00%, 10.00%,0.00%, 10.00%, 0.00%, 45.00%, 5.00%, 20.00%, 10.00%, 0.39%, 16.28%,0.00%, 26.36%, 9.30%, 14.92%, 11.43%, 11.43%, 9.88%, 0.28%, 26.28%,0.00%, 24.90%, 14.25%, 7.40%, 12.10%, 4.56%, 10.24%, 2.45%, 35.31%,0.00%, 21.43%, 15.92%, 3.42%, 8.21%, 3.01%, 10.26%,0.00%, 0.0, 10.9, 74.7, 15.4, 213.0, 0.0, 631.6, 3.696, 61
20, B-SLICE,   20, 38.00,      10256, 0,4.42,30.700, 36.954, 38.922, 32.510,55, 18 16 11 ,22 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  2.94%,  1.76%, 19.38%, 10.43%,  9.10%,  5.87%,  7.64%,  7.64%,  0.00%,  4.85%,  3.52%,  4.11%,  0.88%, 10.13%,  6.46%,  5.29%, 214170.15, 20588.59, 13555.93, 224973.66 , 16, 235, 99.83, 63, 146, 121.11, 78, 178, 135.19, 0.00%, 15.79%,0.00%, 52.63%, 0.00%, 10.53%, 5.26%, 2.63%, 13.16%, 0.00%, 30.45%,0.00%, 45.67%, 2.69%, 4.78%, 5.67%, 2.99%, 7.76%, 0.00%, 40.00%,0.00%, 32.35%, 4.12%, 4.41%, 7.94%, 3.53%, 7.65%, 0.00%, 38.10%,0.00%, 19.64%, 11.31%, 5.65%, 10.42%, 2.08%, 12.80%,0.00%, 0.0, 28.4, 57.4, 29.4, 118.8, 0.0, 667.7, 2.644, 7
21, b-SLICE,   19, 39.00,       4920, 0,4.54,30.647, 37.025, 38.954, 32.482,57, 18 16 ,20 22 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 10.64%,  3.92%, 17.09%, 14.57%,  5.04%,  5.32%,  2.80%,  3.64%,  0.00%,  3.92%,  1.40%,  2.52%,  6.72%, 17.65%,  3.64%,  1.12%, 215542.85, 20327.77, 13713.93, 220540.29 , 16, 235, 99.74, 59, 146, 121.15, 83, 182, 135.25, 0.00%, 31.58%,0.00%, 48.68%, 1.32%, 3.95%, 6.58%, 2.63%, 5.26%, 0.00%, 35.00%,0.00%, 40.00%, 1.36%, 3.41%, 5.68%, 2.50%, 12.05%, 0.00%, 32.73%,0.00%, 25.45%, 7.27%, 10.00%, 13.64%, 0.00%, 10.91%, 0.00%, 36.11%,0.00%, 19.44%, 8.33%, 6.94%, 9.72%, 4.17%, 15.28%,0.00%, 0.0, 42.8, 36.5, 16.3, 88.4, 0.0, 692.0, 2.815, 16
