Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 64x64 (Rect), Inter 32x32, Inter 32x32 (Rect), Inter 16x16, Inter 16x16 (Rect), Inter 8x8, Inter 8x8 (Rect), Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
10, b-SLICE,    8, 39.00,       3280, 0,4.27,32.464, 38.890, 39.220, 34.112,57, 6 3 ,9 12 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 11.22%,  9.57%, 13.86%,  7.26%,  4.95%,  1.98%,  2.97%,  3.30%,  0.00%,  3.30%,  1.32%,  2.31%,  9.90%, 16.83%,  5.28%,  5.94%, 141713.56, 15530.47, 12511.31, 142293.00 , 16, 235, 149.18, 66, 165, 128.84, 87, 179, 126.78, 0.00%, 32.26%,0.00%, 36.56%, 0.00%, 6.99%, 8.06%, 5.91%, 10.22%, 0.00%, 39.35%,0.00%, 46.45%, 0.00%, 1.94%, 5.16%, 0.65%, 6.45%, 0.00%, 48.78%,0.00%, 29.27%, 7.32%, 0.00%, 2.44%, 4.88%, 7.32%, 0.00%, 56.82%,0.00%, 15.91%, 4.55%, 2.27%, 6.82%, 5.68%, 7.95%,0.00%, 0.0, 48.8, 24.7, 4.5, 78.6, 0.0, 429.7, 3.726, 73
11, b-SLICE,   10, 39.00,       3600, 0,4.46,32.361, 38.891, 39.218, 34.034,56, 9 6 3 ,12 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 12.06%,  8.25%, 13.02%,  7.94%,  3.49%,  3.49%,  3.17%,  4.44%,  0.00%,  3.49%,  1.90%,  3.49%,  8.57%, 17.14%,  6.67%,  2.86%, 145205.44, 15532.87, 12662.26, 146512.65 , 18, 235, 149.23, 63, 165, 128.84, 88, 179, 126.81, 0.00%, 29.67%,0.00%, 41.76%, 0.00%, 5.49%, 12.09%, 4.40%, 6.59%, 0.00%, 40.37%,0.00%, 42.86%, 1.24%, 0.62%, 5.59%, 3.42%, 5.90%, 0.00%, 55.10%,0.00%, 22.45%, 0.00%, 4.08%, 10.20%, 3.06%, 5.10%, 0.00%, 45.45%,0.00%, 13.64%, 9.09%, 3.41%, 3.41%, 6.82%, 18.18%,0.00%, 0.0, 47.3, 33.9, 4.5, 103.3, 0.0, 434.5, 3.474, 40
12, b-SLICE,   11, 39.00,       2928, 0,4.23,32.180, 38.815, 39.217, 33.889,56, 9 6 3 ,12 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  8.87%, 12.06%,  9.57%,  8.51%,  1.77%,  2.84%,  1.06%,  4.26%,  0.00%,  4.26%,  1.42%,  3.19%, 12.41%, 21.63%,  5.32%,  2.84%, 151468.17, 15677.27, 12490.16, 152260.63 , 17, 235, 149.29, 61, 165, 128.83, 85, 178, 126.81, 0.00%, 37.23%,0.00%, 26.60%, 0.00%, 3.19%, 9.57%, 8.51%, 14.89%, 0.00%, 47.40%,0.00%, 36.36%, 0.65%, 2.60%, 5.19%, 2.60%, 5.19%, 0.00%, 59.38%,0.00%, 12.50%, 3.12%, 3.12%, 9.38%, 3.12%, 9.38%, 0.00%, 53.12%,0.00%, 0.00%, 9.38%, 4.69%, 1.56%, 4.69%, 26.56%,0.00%, 0.0, 12.1, 34.0, 4.5, 96.3, 0.0, 433.9, 3.711, 70
13, P-SLICE,   18, 37.00,      27248, 0,4.50,31.990, 38.613, 39.049, 33.700,50, 12 9 6 3 , -, 0.00%,  0.00%,  0.00%, 0.07%,  0.00%,  0.07%, 0.14%,  0.14%,  0.35%, 0.35%,  0.07%,  2.67%, 0.00%,  0.63%,  0.84%,  9.05%,  5.75%, 16.70%,  9.68%, 18.39%, 11.37%,  0.00%,  0.28%,  2.60%,  6.67%,  0.42%,  1.47%,  4.63%,  7.65%, 161771.09, 16443.29, 11868.23, 227639.32 , 17, 235, 149.16, 64, 165, 128.76, 86, 175, 126.87, 0.00%, 22.22%,0.00%, 22.22%, 11.11%, 22.22%, 14.81%, 5.56%, 1.85%, 0.75%, 9.33%,0.00%, 28.36%, 30.97%, 9.70%, 8.58%, 7.84%, 4.48%, 1.84%, 21.11%,0.00%, 26.23%, 22.54%, 4.10%, 9.02%, 5.94%, 9.22%, 6.55%, 30.36%,0.00%, 15.77%, 23.21%, 1.41%, 5.43%, 2.53%, 14.73%,0.00%, 1.8, 0.1, 63.3, 0.0, 193.1, 0.0, 454.0, 3.696, 47
14, B-SLICE,   15, 38.00,       7248, 0,4.30,32.160, 38.722, 39.108, 33.849,54, 12 9 3 ,18 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  3.60%,  4.73%, 17.42%, 10.42%,  7.39%,  5.68%,  6.25%,  6.25%,  0.00%,  3.98%,  3.98%,  2.65%,  3.41%, 10.61%,  6.06%,  7.58%, 152428.06, 16043.99, 12791.90, 166034.36 , 17, 235, 149.16, 64, 165, 128.79, 84, 183, 126.84, 0.00%, 29.03%,0.00%, 30.65%, 0.00%, 12.10%, 13.71%, 9.68%, 4.84%, 0.00%, 30.31%,0.00%, 46.46%, 1.57%, 2.76%, 6.69%, 5.31%, 6.89%, 0.00%, 43.44%,0.00%, 29.51%, 2.46%, 2.87%, 4.51%, 4.92%, 12.30%, 0.00%, 45.00%,0.00%, 17.50%, 10.00%, 1.67%, 5.00%, 3.33%, 17.50%,0.00%, 0.0, 32.5, 31.0, 13.4, 83.4, 0.0, 476.4, 3.200, 36
15, b-SLICE,   13, 39.00,       3336, 0,4.20,32.315, 38.850, 39.231, 33.997,57, 12 9 ,15 18 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 13.75%,  7.22%, 15.46%,  9.28%,  2.41%,  2.41%,  1.37%,  2.06%,  0.00%,  4.81%,  2.06%,  1.72%,  9.97%, 18.56%,  4.47%,  4.47%, 146683.72, 15586.39, 12936.73, 147590.92 , 17, 235, 149.33, 60, 165, 128.88, 88, 178, 126.88, 0.00%, 32.22%,0.00%, 44.44%, 0.00%, 4.44%, 8.89%, 2.22%, 7.78%, 0.00%, 40.00%,0.00%, 43.53%, 0.59%, 1.47%, 3.24%, 2.65%, 8.53%, 0.00%, 57.58%,0.00%, 21.21%, 0.00%, 0.00%, 6.06%, 1.52%, 13.64%, 0.00%, 64.29%,0.00%, 0.00%, 14.29%, 0.00%, 3.57%, 5.36%, 12.50%,0.00%, 0.0, 57.1, 25.7, 4.1, 85.5, 0.0, 501.7, 4.081, 53
16, b-SLICE,   14, 39.00,       3360, 0,4.09,32.209, 38.808, 39.224, 33.911,57, 12 9 ,15 18 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 13.27%,  8.16%, 15.99%, 11.56%,  1.36%,  1.70%,  1.70%,  4.08%,  0.00%,  4.08%,  2.38%,  1.36%,  8.84%, 17.69%,  4.08%,  3.74%, 150264.68, 15677.61, 13000.31, 151054.96 , 16, 235, 149.30, 61, 164, 128.87, 86, 177, 126.89, 0.00%, 29.21%,0.00%, 43.82%, 0.00%, 5.62%, 7.87%, 5.62%, 7.87%, 0.00%, 36.57%,0.00%, 42.29%, 1.71%, 2.00%, 6.57%, 2.86%, 8.00%, 0.00%, 67.86%,0.00%, 14.29%, 0.00%, 1.79%, 8.93%, 0.00%, 7.14%, 0.00%, 46.88%,0.00%, 9.38%, 6.25%, 1.56%, 7.81%, 3.12%, 25.00%,0.00%, 0.0, 48.0, 25.8, 4.1, 73.9, 0.0, 501.3, 4.215, 32
17, b-SLICE,   16, 39.00,       3368, 0,4.35,32.130, 38.784, 39.174, 33.842,56, 15 12 9 ,18 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 15.71%,  4.49%, 12.18%,  7.69%,  0.64%,  3.21%,  2.24%,  3.21%,  0.00%,  4.49%,  3.85%,  3.21%,  9.29%, 16.67%,  6.41%,  6.73%, 153195.52, 15808.31, 13108.51, 154909.29 , 16, 235, 149.29, 65, 164, 128.81, 87, 178, 126.87, 0.00%, 31.52%,0.00%, 53.26%, 0.00%, 3.80%, 3.80%, 2.17%, 5.43%, 0.00%, 41.77%,0.00%, 41.77%, 1.27%, 2.22%, 6.01%, 2.22%, 4.75%, 0.00%, 72.73%,0.00%, 4.55%, 0.00%, 3.41%, 7.95%, 2.27%, 9.09%, 0.00%, 64.58%,0.00%, 8.33%, 6.25%, 1.04%, 3.12%, 7.29%, 9.37%,0.00%, 0.0, 46.2, 27.3, 4.1, 85.8, 0.0, 498.8, 3.948, 48
18, b-SLICE,   17, 39.00,       2936, 0,4.20,32.016, 38.751, 39.148, 33.750,56, 15 12 9 ,18 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 16.29%,  8.71%,  8.71%,  9.85%,  1.14%,  1.89%,  1.14%,  3.03%,  0.00%,  3.79%,  1.52%,  3.03%, 10.98%, 24.62%,  1.89%,  3.41%, 157083.88, 15918.67, 13457.88, 158180.60 , 16, 235, 149.29, 68, 164, 128.80, 88, 175, 126.89, 0.00%, 30.53%,0.00%, 45.26%, 0.00%, 2.63%, 8.95%, 3.68%, 8.95%, 0.00%, 48.70%,0.00%, 34.42%, 0.00%, 1.30%, 3.90%, 3.25%, 8.44%, 0.00%, 52.94%,0.00%, 17.65%, 0.00%, 2.94%, 14.71%, 5.88%, 5.88%, 0.00%, 60.71%,0.00%, 10.71%, 0.00%, 3.57%, 3.57%, 5.36%, 16.07%,0.00%, 0.0, 11.9, 28.9, 4.1, 79.3, 0.0, 498.7, 3.578, 58
19, P-SLICE,   22, 37.00,      19920, 0,4.21,31.836, 38.648, 39.068, 33.592,52, 18 15 12 9 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.19%, 0.10%,  0.10%,  0.39%, 0.48%,  0.00%,  2.23%, 0.00%,  0.58%,  1.36%, 12.79%,  9.79%, 14.92%,  9.30%, 12.89%,  7.66%,  0.00%,  1.16%,  2.52%,  5.14%,  1.07%,  2.71%,  6.59%,  8.04%, 166730.65, 16365.61, 12356.88, 240465.14 , 16, 235, 148.94, 64, 167, 128.78, 87, 189, 126.95, 0.00%, 35.48%,0.00%, 9.68%, 9.68%, 16.13%, 19.35%, 4.84%, 4.84%, 0.66%, 13.11%,0.00%, 28.85%, 24.26%, 5.25%, 9.18%, 8.85%, 9.84%, 1.71%, 26.86%,0.00%, 21.71%, 22.29%, 3.43%, 6.00%, 5.71%, 12.29%, 7.45%, 36.17%,0.00%, 15.43%, 19.95%, 2.26%, 7.31%, 1.73%, 9.71%,0.00%, 0.0, 0.0, 58.6, 0.0, 172.3, 0.0, 514.0, 3.496, 16
20, B-SLICE,   20, 38.00,       5432, 0,4.13,31.998, 38.712, 39.148, 33.731,55, 18 15 9 ,22 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  7.09%,  5.20%, 17.49%, 10.17%,  3.55%,  4.96%,  3.55%,  7.80%,  0.00%,  5.20%,  5.20%,  5.44%,  5.91%,  9.22%,  3.31%,  5.91%, 157824.27, 15993.87, 13367.19, 161531.50 , 16, 235, 149.17, 62, 167, 128.79, 87, 179, 126.93, 0.00%, 32.47%,0.00%, 38.96%, 0.00%, 3.90%, 10.39%, 4.55%, 9.74%, 0.00%, 29.33%,0.00%, 49.52%, 0.48%, 3.61%, 3.12%, 3.85%, 10.10%, 0.00%, 50.00%,0.00%, 20.83%, 0.00%, 2.78%, 4.17%, 3.47%, 18.75%, 0.00%, 50.00%,0.00%, 9.37%, 6.25%, 4.17%, 8.33%, 5.21%, 16.67%,0.00%, 0.0, 23.7, 26.0, 12.7, 71.8, 0.0, 535.3, 3.941, 12
21, b-SLICE,   19, 39.00,       2456, 0,4.43,32.040, 38.739, 39.174, 33.769,57, 18 15 ,20 22 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 10.20%, 10.59%, 10.98%,  9.02%,  0.78%,  0.78%,  2.35%,  1.57%,  0.00%,  3.14%,  1.96%,  1.18%, 16.47%, 25.88%,  2.35%,  2.75%, 156158.86, 15895.36, 13522.10, 156565.86 , 17, 235, 149.21, 61, 165, 128.80, 86, 176, 126.92, 0.00%, 44.21%,0.00%, 27.37%, 0.00%, 2.63%, 7.89%, 2.63%, 15.26%, 0.00%, 47.74%,0.00%, 37.42%, 0.00%, 0.97%, 4.84%, 0.65%, 8.39%, 0.00%, 73.33%,0.00%, 13.33%, 0.00%, 0.00%, 6.67%, 0.00%, 6.67%, 0.00%, 50.00%,0.00%, 25.00%, 5.00%, 2.50%, 7.50%, 0.00%, 10.00%,0.00%, 0.0, 41.8, 21.8, 5.8, 69.7, 0.0, 554.8, 3.748, 56
