Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 64x64 (Rect), Inter 32x32, Inter 32x32 (Rect), Inter 16x16, Inter 16x16 (Rect), Inter 8x8, Inter 8x8 (Rect), Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
10, B-SLICE,   10, 38.00,      12288, 0,3.62,31.607, 37.174, 38.987, 33.225,55, 8 7 3 ,12 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  2.19%,  1.92%, 19.89%,  8.78%, 16.05%,  7.00%,  6.31%,  5.21%,  0.00%,  3.98%,  3.98%,  2.74%,  0.69%,  8.23%,  7.54%,  5.49%, 174300.14, 19897.62, 12225.10, 186387.32 , 16, 235, 100.44, 82, 198, 116.70, 77, 167, 137.49, 0.00%, 14.29%,0.00%, 42.86%, 2.86%, 8.57%, 2.86%, 15.71%, 12.86%, 0.00%, 27.13%,0.00%, 49.39%, 3.96%, 5.64%, 4.42%, 4.57%, 4.88%, 0.00%, 33.33%,0.00%, 33.73%, 12.70%, 4.76%, 5.56%, 2.78%, 7.14%, 0.00%, 41.67%,0.00%, 18.75%, 13.19%, 2.43%, 9.38%, 3.12%, 11.46%,0.00%, 0.0, 85.8, 69.8, 32.3, 149.8, 0.0, 540.2, 2.541, 21
11, b-SLICE,    9, 39.00,       4440, 0,3.55,31.612, 37.255, 39.065, 33.249,57, 8 7 ,10 12 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 15.26%,  4.98%, 17.13%, 13.40%,  4.98%,  5.61%,  1.25%,  0.62%,  0.00%,  3.12%,  2.49%,  2.18%,  6.23%, 14.02%,  6.54%,  2.18%, 172793.85, 19487.96, 13149.31, 173956.67 , 16, 235, 100.26, 84, 197, 116.77, 80, 167, 137.45, 0.00%, 23.53%,0.00%, 57.65%, 0.00%, 2.94%, 7.65%, 1.76%, 6.47%, 0.00%, 30.05%,0.00%, 42.62%, 3.83%, 2.73%, 7.10%, 6.01%, 7.65%, 0.00%, 46.03%,0.00%, 22.22%, 3.17%, 3.17%, 4.76%, 3.17%, 17.46%, 0.00%, 70.00%,0.00%, 20.00%, 0.00%, 0.00%, 0.00%, 0.00%, 10.00%,0.00%, 0.0, 117.7, 38.4, 18.6, 97.6, 0.0, 561.4, 2.978, 26
12, b-SLICE,   11, 39.00,       4256, 0,3.67,31.526, 37.218, 38.968, 33.168,56, 10 8 7 ,12 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 18.79%,  6.38%, 31.56%, 12.41%,  1.77%,  3.90%,  0.00%,  0.00%,  0.00%,  3.90%,  1.06%,  0.00%,  3.55%, 16.31%,  0.35%,  0.00%, 175941.62, 19760.50, 12849.77, 177256.21 , 16, 235, 100.59, 83, 204, 116.64, 84, 167, 137.52, 0.00%, 12.35%,0.00%, 65.43%, 0.00%, 4.94%, 3.70%, 3.09%, 10.49%, 0.00%, 27.01%,0.00%, 52.61%, 3.79%, 1.90%, 4.27%, 3.79%, 6.64%, 0.00%, 20.00%,0.00%, 25.00%, 0.00%, 7.50%, 17.50%, 7.50%, 22.50%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 1.3, 89.9, 39.2, 18.6, 92.0, 0.0, 558.6, 2.815, 34
13, P-SLICE,   18, 37.00,      43496, 0,3.78,31.402, 36.995, 38.759, 33.021,50, 12 10 8 7 , -, 0.00%,  0.00%,  0.00%, 0.05%,  0.00%,  0.30%, 0.10%,  0.00%,  1.22%, 0.46%,  0.15%,  2.53%, 0.00%,  0.20%,  0.15%,  6.84%,  4.71%, 20.77%,  6.99%, 25.08%,  9.52%,  0.00%,  0.05%,  2.18%,  6.33%,  0.00%,  0.56%,  3.19%,  8.61%, 188469.93, 21116.65, 11381.54, 303796.39 , 16, 235, 100.90, 80, 188, 116.48, 71, 168, 137.52, 0.00%, 0.00%,0.00%, 14.29%, 42.86%, 28.57%, 0.00%, 14.29%, 0.00%, 2.53%, 4.33%,0.00%, 32.49%, 27.08%, 5.78%, 7.22%, 14.26%, 6.32%, 3.82%, 15.59%,0.00%, 32.50%, 27.79%, 4.41%, 5.00%, 4.49%, 6.40%, 5.96%, 28.37%,0.00%, 21.83%, 25.77%, 1.54%, 6.35%, 1.88%, 8.32%,0.00%, 0.0, 69.0, 84.1, 18.7, 247.8, 0.0, 587.6, 3.733, 38
14, B-SLICE,   15, 38.00,      15016, 0,3.71,31.428, 37.109, 38.885, 33.070,54, 12 10 7 ,18 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  2.03%,  0.68%, 18.24%,  8.22%, 15.09%,  9.12%,  8.33%,  7.55%,  0.00%,  2.70%,  5.41%,  5.29%,  0.34%,  5.63%,  5.52%,  5.86%, 182357.96, 20264.35, 12317.39, 197125.44 , 16, 235, 100.87, 79, 192, 116.48, 72, 167, 137.59, 0.00%, 11.11%,0.00%, 66.67%, 0.00%, 5.56%, 5.56%, 9.26%, 1.85%, 0.00%, 21.83%,0.00%, 50.44%, 6.19%, 5.75%, 6.34%, 4.87%, 4.57%, 0.00%, 31.09%,0.00%, 32.37%, 10.58%, 5.45%, 6.41%, 5.77%, 8.33%, 0.00%, 41.25%,0.00%, 15.00%, 15.83%, 1.67%, 9.58%, 3.54%, 13.12%,0.00%, 0.0, 69.9, 68.7, 28.9, 146.0, 0.3, 632.9, 2.467, 23
15, b-SLICE,   13, 39.00,       5952, 0,3.70,31.507, 37.165, 38.955, 33.146,57, 12 10 ,15 18 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 11.20%,  5.21%, 23.18%, 12.24%,  6.25%,  4.43%,  1.56%,  4.17%,  0.00%,  4.17%,  2.86%,  3.65%,  3.12%,  9.38%,  6.51%,  2.08%, 177198.08, 19930.80, 12802.02, 180677.05 , 16, 235, 100.90, 80, 197, 116.52, 74, 167, 137.58, 0.00%, 16.00%,0.00%, 57.33%, 0.00%, 7.33%, 8.67%, 5.33%, 5.33%, 0.00%, 23.85%,0.00%, 50.92%, 3.67%, 3.90%, 6.19%, 4.13%, 7.34%, 0.00%, 46.75%,0.00%, 23.38%, 7.79%, 3.90%, 5.19%, 3.90%, 9.09%, 0.00%, 50.00%,0.00%, 4.55%, 9.09%, 0.00%, 4.55%, 5.68%, 26.14%,0.00%, 0.0, 82.7, 40.8, 18.9, 97.1, 0.0, 657.6, 2.978, 25
16, b-SLICE,   14, 39.00,       6000, 0,3.61,31.387, 37.150, 38.938, 33.051,57, 12 10 ,15 18 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  6.16%,  6.62%, 16.44%, 13.47%,  5.02%,  6.16%,  2.97%,  3.42%,  0.00%,  2.51%,  3.65%,  2.74%,  3.42%, 12.33%,  8.68%,  6.39%, 182089.62, 20004.27, 12849.33, 185926.00 , 16, 235, 101.03, 80, 195, 116.48, 73, 167, 137.59, 0.00%, 21.13%,0.00%, 38.03%, 0.00%, 11.27%, 8.45%, 11.27%, 9.86%, 0.00%, 28.76%,0.00%, 42.48%, 2.65%, 4.65%, 8.63%, 3.98%, 8.85%, 0.00%, 52.43%,0.00%, 16.50%, 4.85%, 4.85%, 7.77%, 3.88%, 9.71%, 0.00%, 58.82%,0.00%, 7.35%, 11.76%, 0.74%, 6.62%, 2.94%, 11.76%,0.00%, 0.0, 63.5, 46.4, 18.9, 107.2, 0.0, 661.2, 2.615, 21
17, b-SLICE,   16, 39.00,       5888, 0,3.78,31.364, 37.172, 38.944, 33.038,56, 15 12 10 ,18 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  6.15%,  4.73%, 20.80%, 14.66%,  5.91%,  7.09%,  0.71%,  2.36%,  0.00%,  6.38%,  5.67%,  1.18%,  3.55%, 14.89%,  4.49%,  1.42%, 182985.01, 19932.60, 12985.93, 185250.40 , 16, 235, 100.88, 80, 188, 116.50, 69, 168, 137.58, 0.00%, 24.59%,0.00%, 42.62%, 0.00%, 6.56%, 4.92%, 10.66%, 10.66%, 0.00%, 33.33%,0.00%, 42.22%, 1.48%, 4.26%, 7.96%, 4.63%, 6.11%, 0.00%, 43.88%,0.00%, 22.45%, 3.06%, 2.04%, 4.08%, 7.14%, 17.35%, 0.00%, 45.83%,0.00%, 8.33%, 4.17%, 2.08%, 10.42%, 6.25%, 22.92%,0.00%, 0.0, 62.2, 46.4, 18.9, 104.2, 1.4, 658.5, 2.948, 22
18, b-SLICE,   17, 39.00,       5552, 0,3.51,31.282, 37.061, 38.809, 32.945,56, 15 12 10 ,18 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  5.01%,  7.27%, 24.81%, 14.54%,  7.02%,  2.26%,  1.75%,  1.00%,  0.00%,  8.02%,  3.26%,  0.50%,  3.01%, 14.54%,  5.26%,  1.75%, 187004.42, 20494.34, 12654.76, 189203.40 , 16, 235, 100.92, 79, 188, 116.45, 72, 168, 137.52, 0.00%, 19.67%,0.00%, 32.79%, 0.00%, 5.74%, 7.38%, 18.03%, 16.39%, 0.00%, 32.49%,0.00%, 43.32%, 3.25%, 5.23%, 5.96%, 4.51%, 5.23%, 0.00%, 47.89%,0.00%, 33.80%, 5.63%, 3.52%, 4.93%, 0.70%, 3.52%, 0.00%, 45.00%,0.00%, 25.00%, 10.00%, 2.50%, 2.50%, 5.00%, 10.00%,0.00%, 0.0, 17.8, 47.6, 18.9, 108.9, 0.0, 657.9, 3.096, 37
19, P-SLICE,   22, 37.00,      33096, 0,3.59,31.264, 37.093, 38.816, 32.936,52, 18 15 12 10 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.07%,  0.13%, 0.07%,  0.00%,  0.33%, 0.13%,  0.00%,  1.00%, 0.00%,  0.27%,  0.40%, 10.62%,  6.64%, 19.99%,  8.50%, 19.26%,  8.70%,  0.00%,  0.73%,  2.26%,  4.45%,  0.00%,  1.26%,  4.91%, 10.29%, 192661.41, 20648.41, 11965.15, 256959.28 , 16, 235, 101.00, 81, 190, 116.62, 73, 168, 137.53, 0.00%, 0.00%,0.00%, 30.00%, 10.00%, 15.00%, 5.00%, 35.00%, 5.00%, 0.93%, 9.29%,0.00%, 39.01%, 19.81%, 8.98%, 6.50%, 8.51%, 6.97%, 1.10%, 19.89%,0.00%, 31.12%, 24.31%, 4.24%, 7.73%, 4.88%, 6.72%, 2.58%, 33.64%,0.00%, 18.03%, 25.91%, 1.44%, 6.59%, 2.05%, 9.77%,0.00%, 0.0, 0.1, 67.5, 0.1, 205.4, 0.0, 674.9, 4.030, 45
20, B-SLICE,   20, 38.00,      10256, 0,3.73,31.276, 37.188, 38.888, 32.967,55, 18 15 10 ,22 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  3.04%,  0.91%, 20.85%, 14.00%, 10.20%,  7.31%,  4.26%,  5.33%,  0.00%,  3.96%,  6.09%,  3.50%,  1.22%,  9.44%,  7.15%,  2.74%, 187948.15, 19990.74, 12981.63, 195451.80 , 16, 235, 101.05, 81, 191, 116.54, 70, 168, 137.51, 0.00%, 23.53%,0.00%, 58.82%, 0.00%, 4.41%, 4.41%, 4.41%, 4.41%, 0.00%, 25.36%,0.00%, 46.11%, 2.02%, 5.33%, 6.20%, 5.04%, 9.94%, 0.00%, 43.07%,0.00%, 28.22%, 4.95%, 1.98%, 6.44%, 3.47%, 11.88%, 0.00%, 39.42%,0.00%, 15.38%, 11.54%, 3.85%, 16.35%, 0.96%, 12.50%,0.00%, 0.0, 24.1, 51.6, 21.6, 116.1, 0.0, 712.8, 2.770, 19
21, b-SLICE,   19, 39.00,       3768, 0,3.85,31.388, 37.217, 38.923, 33.058,57, 18 15 ,20 22 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  9.66%,  8.41%, 19.63%, 12.77%,  2.80%,  3.43%,  0.62%,  1.87%,  0.00%,  7.17%,  2.18%,  1.87%,  6.85%, 15.89%,  4.98%,  1.87%, 181674.00, 19848.07, 13543.22, 182307.33 , 16, 235, 100.99, 81, 189, 116.50, 71, 168, 137.53, 0.00%, 27.50%,0.00%, 38.75%, 0.00%, 6.25%, 18.75%, 3.12%, 5.62%, 0.00%, 35.58%,0.00%, 43.27%, 1.44%, 2.16%, 6.97%, 2.16%, 8.41%, 0.00%, 53.49%,0.00%, 20.93%, 0.00%, 2.33%, 2.33%, 5.81%, 15.12%, 0.00%, 60.00%,0.00%, 10.00%, 0.00%, 2.50%, 7.50%, 0.00%, 20.00%,0.00%, 0.0, 53.0, 33.5, 16.6, 65.9, 0.0, 733.9, 2.437, 19
